market_role_prod,market_name_prod,variety,grade,week_end,avg_price_prod,market_role_term,market_name_term,avg_price_term,NASCDI
producer,Shopian,Delicious,A,2018-12-16 23:59:59.999999999,40.625,terminal,Azadpur,46.785714285714285,
producer,Shopian,Delicious,A,2018-12-23 23:59:59.999999999,39.285714285714285,terminal,Azadpur,46.42857142857143,
producer,Shopian,Delicious,A,2018-12-30 23:59:59.999999999,37.5,terminal,Azadpur,44.642857142857146,
producer,Shopian,Delicious,A,2019-01-06 23:59:59.999999999,37.5,terminal,Azadpur,47.32142857142857,
producer,Shopian,Delicious,A,2019-09-15 23:59:59.999999999,60.0,terminal,Azadpur,46.875,
producer,Shopian,Delicious,A,2019-09-22 23:59:59.999999999,60.0,terminal,Azadpur,46.875,
producer,Shopian,Delicious,A,2019-09-29 23:59:59.999999999,60.0,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2019-10-06 23:59:59.999999999,60.0,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2019-10-13 23:59:59.999999999,60.0,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2019-10-20 23:59:59.999999999,60.0,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2019-10-27 23:59:59.999999999,60.0,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2019-11-03 23:59:59.999999999,60.0,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2019-11-10 23:59:59.999999999,60.0,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2019-11-17 23:59:59.999999999,60.0,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2019-11-24 23:59:59.999999999,60.0,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2019-12-01 23:59:59.999999999,60.0,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2019-12-08 23:59:59.999999999,60.0,terminal,Azadpur,60.267857142857146,
producer,Shopian,Delicious,A,2019-12-15 23:59:59.999999999,60.0,terminal,Azadpur,68.30357142857143,
producer,Shopian,Delicious,A,2019-12-22 23:59:59.999999999,60.0,terminal,Azadpur,65.625,
producer,Shopian,Delicious,A,2019-12-29 23:59:59.999999999,60.0,terminal,Azadpur,65.17857142857143,
producer,Shopian,Delicious,A,2020-01-05 23:59:59.999999999,60.0,terminal,Azadpur,53.57142857142857,
