sim,spearman_vs_baseline,kendall_vs_baseline,mean_abs_diff
179,1.0,0.9999999999999998,0.028969621879833117
180,1.0,0.9999999999999998,0.03124468891072727
181,1.0,0.9999999999999998,0.013356568790215455
182,1.0,0.9999999999999998,0.013956210067309217
183,1.0,0.9999999999999998,0.006441021360073011
184,0.9761904761904763,0.9285714285714285,0.04371526080822076
185,1.0,0.9999999999999998,0.03339922140289541
186,1.0,0.9999999999999998,0.011824742667738954
187,1.0,0.9999999999999998,0.011423873857880462
188,1.0,0.9999999999999998,0.032384574126467086
189,1.0,0.9999999999999998,0.02721306536042966
190,1.0,0.9999999999999998,0.021153363209731213
191,1.0,0.9999999999999998,0.009218515445913546
192,1.0,0.9999999999999998,0.010576449570216667
193,1.0,0.9999999999999998,0.01053892395044033
194,1.0,0.9999999999999998,0.017313321354351312
195,1.0,0.9999999999999998,0.01628979399784658
196,1.0,0.9999999999999998,0.010402446751564043
197,1.0,0.9999999999999998,0.016643223013408613
198,1.0,0.9999999999999998,0.02668667793692111
199,1.0,0.9999999999999998,0.008491369821810361
200,1.0,0.9999999999999998,0.020696381245990603
201,1.0,0.9999999999999998,0.024598776329823373
202,1.0,0.9999999999999998,0.023175462368444887
203,1.0,0.9999999999999998,0.006937522448325968
204,1.0,0.9999999999999998,0.023011216903943664
205,1.0,0.9999999999999998,0.010011928289023114
206,1.0,0.9999999999999998,0.028573520928514305
207,1.0,0.9999999999999998,0.00970334982408217
208,1.0,0.9999999999999998,0.018999461590561997
209,1.0,0.9999999999999998,0.025514068403198836
210,1.0,0.9999999999999998,0.011684601037136297
211,1.0,0.9999999999999998,0.02984893827968913
212,1.0,0.9999999999999998,0.011806471956461569
213,1.0,0.9999999999999998,0.020422974641554854
214,1.0,0.9999999999999998,0.03204381743772343
215,1.0,0.9999999999999998,0.012142568400945797
216,1.0,0.9999999999999998,0.010440809469506082
217,1.0,0.9999999999999998,0.03327491415993557
218,1.0,0.9999999999999998,0.005627270431281597
219,1.0,0.9999999999999998,0.021069043010566585
220,1.0,0.9999999999999998,0.013874022445083449
221,1.0,0.9999999999999998,0.02076758828202674
222,1.0,0.9999999999999998,0.03241419376945381
223,1.0,0.9999999999999998,0.022877334221666323
224,1.0,0.9999999999999998,0.016064113516490355
225,1.0,0.9999999999999998,0.02759413974870853
226,1.0,0.9999999999999998,0.00535667550711115
227,1.0,0.9999999999999998,0.021339632007997524
228,1.0,0.9999999999999998,0.00888557489721993
229,1.0,0.9999999999999998,0.018858892627496883
230,1.0,0.9999999999999998,0.022432956042511755
231,1.0,0.9999999999999998,0.03627543375215051
232,1.0,0.9999999999999998,0.012262504744967234
233,1.0,0.9999999999999998,0.027984639236587547
234,1.0,0.9999999999999998,0.010670554308653296
235,1.0,0.9999999999999998,0.017061957246600173
236,1.0,0.9999999999999998,0.019169542302023154
237,1.0,0.9999999999999998,0.036549238791429496
238,1.0,0.9999999999999998,0.023087875890710173
239,1.0,0.9999999999999998,0.008658064799469914
240,1.0,0.9999999999999998,0.010140223379780912
241,1.0,0.9999999999999998,0.009579120460692765
242,1.0,0.9999999999999998,0.0285883701565054
243,1.0,0.9999999999999998,0.007714283568528567
244,1.0,0.9999999999999998,0.012990714496920797
245,1.0,0.9999999999999998,0.0186301486580717
246,1.0,0.9999999999999998,0.02443331839740881
247,1.0,0.9999999999999998,0.01842346230166983
248,1.0,0.9999999999999998,0.008270875805129196
249,1.0,0.9999999999999998,0.030602823866379657
250,1.0,0.9999999999999998,0.022980239953139782
251,1.0,0.9999999999999998,0.012544078084949034
252,1.0,0.9999999999999998,0.006423359179952098
253,1.0,0.9999999999999998,0.0238122491828466
254,1.0,0.9999999999999998,0.029627148356026936
255,1.0,0.9999999999999998,0.03343004010484777
256,1.0,0.9999999999999998,0.0142172190290979
257,1.0,0.9999999999999998,0.009424797157084837
258,1.0,0.9999999999999998,0.026759029010135292
259,1.0,0.9999999999999998,0.00723873830087806
260,1.0,0.9999999999999998,0.013640444347598923
261,1.0,0.9999999999999998,0.0202331997616361
